sku,compatible_with,manufacturer
,,
775854-3,00-775854-003 HOBART,HOBART
,,
,,
,,
,,
87.00.352,,RATIONAL
,,
,,
,,
883993-1,,HOBART
,,
,,
9544233,,MEIKO
,,
,,
EP-248,,ESWOOD
,,
,,
FA200,,FAGOR
,,
,,
Z220901,"Z220901000 FAGOR, 12024273 FAGOR",FAGOR
,,
,,
01-240135-2,01-240135-002 HOBART,HOBART
,,
,,
01-515292-1,"01-515292-101 HOBART, 01-240247-101 HOBAR",HOBART
,,
,,
303001,,LAMBER
,,
,,
303042,,LAMBER
,,
,,
48284,,ZANUSSI/ELECTROLUX
,,
,,
49371,,ZANUSSI/ELECTROLUX
,,
,,
49898,,ZANUSSI/ELECTROLUX
,,
,,
49992,,ZANUSSI/ELECTROLUX
,,
,,
057-100-020,,NORRIS
,,
,,
057-100-098,,NORRIS
,,
,,
057-17-325,,NORRIS
,,
,,
057-55-582,,NORRIS
,,
,,
057-66-046,,NORRIS
,,
,,
057-77-064,,NORRIS
,,
,,
057-90-031,,NORRIS
,,
,,
110333,,COMENDA
,,
,,
110362,,COMENDA
,,
,,
110363,,COMENDA
,,
,,
150047,"32G3360 RHIMA, 0L3669 ZANUSSI/ELECTROLUX","ANGELO PO, RHIMA"
,,
,,
,,
,,
15047/A,"50300056, 5030037 RHIMA",RHIMA
,,
,,
195508,,HOBART
,,
,,
195512,,HOBART
,,
,,
23.00.98,,
,,
,,
230020,,HOBART
,,
,,
230083,23.00.83 ESWOOD SMARTWASH ,HOBART
,,
,,
,,
230086,,HOBART
,,
,,
230088,,HOBART
,,
,,
230098,23.00.98 SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
230100,,HOBART
,,
,,
230102,,HOBART
,,
,,
230112,,HOBART
,,
,,
230113,23.01.13 SMARTWASH,HOBART
,,
,,
,,
230114,,
,,
,,
230118,23.01.18 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
,,
230120,,"ESWOOD SMARTWASH, NORRIS MADISON, HOBART"
,,
,,
,,
,,
2619181,,CONVOTHERM
,,
,,
,,
30001010,,RHIMA
,,
,,
3005,,WASHTECH
,,
,,
40L2109,,ZANUSSI/ELECTROLUX
,,
,,
5007062,5007062K CONVOTHERM,CONVOTHERM
5007066,5007066K CONVOTHERM,CONVOTHERM
,,
,,
5007068,5007068K CONVOTHERM,CONVOTHERM
,,
,,
5007071,"5007070K CONVOTHERM, 5030632 CONVOTHERM",CONVOTHERM
,,
,,
60030145,,WASHTECH
,,
,,
60030159,,WASHTECH
,,
,,
60030160,,WASHTECH
,,
,,
60030226,,WASHTECH
,,
,,
60030249,,WASHTECH
,,
,,
6A045300,"32G0020 ANGELO PO, 053407 ELECTROLUX, 053606 ELECTROLUX, 12024076 FAGOR",BARON
6A045600,"32G0300 ANGELO PO, 32G1330 ANGELO PO, 003931 ELECTROLUX, 240042 JEMI",BARON
7.30.69,73069,ESWOOD
,,
,,
80398,8.03.98 ESWOOD,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
80677,,"HOBART, NORRIS MADISON, EUROWASH"
,,
,,
,,
,,
87.00.366,,RATIONAL
,,
,,
,,
883423-1,00-883423-001 HOBART,HOBART
,,
,,
EP-204,,ESWOOD
,,
,,
,,
EP-205,,ESWOOD
,,
,,
EP-210,,ESWOOD
,,
,,
EP-211,,ESWOOD
,,
,,
EP-217,,ESWOOD
,,
,,
EP-219,,ESWOOD
,,
,,
EP-222,,ESWOOD
,,
,,
EP-223,,ESWOOD
,,
,,
R223005,"R223005000, 12024951 FAGOR",FAGOR
,,
,,
Z201706,"Z201706000, 12024683 FAGOR",FAGOR
,,
,,
Z203601,"Z203601000, 12024683 FAGOR",FAGOR
,,
,,
Z241701,"Z241701000, 12024732 FAGOR",FAGOR
,,
,,
Z421711,"Z421711000, ",FAGOR
,,
,,
Z743601,"Z743601000, 12023778 FAGOR",FAGOR
,,
,,
12.11.20,,
,,
12.11.35,121135,ESWOOD
,,
121078,,HOBART
,,
121081,,HOBART
,,
121100,12.11.00 ESWOOD,"HOBART, NORRIS MADISON, ESWOOD SMARTWASH"
,,
121120,12.11.20 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
13.60.30,,
,,
180811,C180811,WASHTECH
,,
42.90.72,,
,,
429072,42.90.72 ESWOOD,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
80470,,HOBART
,,
,,
883733-1,,HOBART
,,
Z210802,"Z210802000, 12022559 FAGOR",FAGOR
,,
200056,,LAMBER
,,
,,
124-70-080,,NORRIS
,,
,,
195054,,HOBART
,,
,,
200812,C200812 WASHTECH,WASHTECH
,,
,,
200843,C200843,WASHTECH
,,
,,
200844,C200844,WASHTECH
,,
,,
200845,C200845,WASHTECH
,,
,,
30479,,BRACTON
,,
437104,43.71.04,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
44.00.280,,RATIONAL
,,
,,
456002,,HOBART
,,
456016,,HOBART
,,
,,
67500-15,,HOBART
,,
,,
80178,8.01.78 ESWOOD SMARTWASH,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
929046,,HOBART
,,
Q307035,,FAGOR
,,
SE-117,,ESWOOD
,,
,,
SE-119,,ESWOOD
,,
,,
200020,,LAMBER
,,
,,
200128,,LAMBER
,,
,,
200403,,LAMBER
,,
,,
48250,,ZANUSSI/ELECTROLUX
,,
,,
136023,,HOBART
,,
,,
14.20.58,,
,,
,,
142022,,HOBART
,,
,,
142051,14.20.51 ESWOOD SMARTWASH,"HOBART, ESWOOD SMARTWASH, NORRIS MADISON, EUROWASH"
,,
,,
142053,,HOBART
,,
,,
142058,14.20.58 ESWOOD SMARTWASH,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
20710022,,WASHTECH
,,
,,
229426-3,,HOBART
,,
,,
30426,,BRACTON
,,
,,
31637,,BRACTON
,,
,,
500618,,"ANGELO PO, RHIMA"
,,
540033,,RHIMA
,,
,,
80249,,HOBART
,,
,,
80250,,HOBART
,,
,,
926050,,HOBART
,,
,,
929036,,
,,
,,
Z200909,"Z200909000, 12010165",FAGOR
,,
,,
Z710901,"Z710901000, 12023658",FAGOR
,,
,,
02.63.51,,ESWOOD
,,
,,
02.64.94,,ESWOOD
,,
,,
25531,,
,,
,,
25771,,HOBART
,,
,,
26325,,NORRIS
,,
,,
26326,,NORRIS
,,
,,
0L1235,"0L0061, 0L0710, 0L0550",ZANUSSI/ELECTROLUX
,,
,,
,,
,,
0L2582,"0L0547, 0L1236, 0L0706, 0L1410, 0L1810, 0L0046",ZANUSSI/ELECTROLUX
,,
,,
,,
,,
0L2583,"0L0045, 049910, 0L0705, 0L0541, 0L0261, 0L1972, 0L1811, 0L1412",ZANUSSI/ELECTROLUX
,,
,,
,,
,,
121287,,COMENDA
,,
,,
,,
,,
195488-1,,HOBART
,,
,,
,,
,,
197633-1,,HOBART
,,
,,
,,
,,
21.10.17,,
,,
,,
21.50.34-1,215034-1,ESWOOD
,,
,,
,,
,,
21.50.36,,
,,
,,
211009,,HOBART
,,
,,
211017,21.10.17 ESWOOD,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
215023,,HOBART
,,
,,
,,
,,
215027,,
,,
,,
215032-1,,NORRIS
,,
,,
,,
,,
215032-4,21.50.32-4,ESWOOD SMARTWASH
,,
,,
,,
,,
215034-4,,NORRIS MADISON
,,
,,
,,
,,
215036,21.50.36 ESWOOD,"ESWOOD SMARTWASH, NORRIS MADISON"
,,
,,
,,
,,
215038,,HOBART
,,
,,
,,
,,
225032,,HOBART
,,
,,
227084,227059,"HOBART, NORRIS MADISON, EUROWASH"
,,
